,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1,1.562,2.1993,17.389,0.88293,0.75489,0.50826,0.59753,0.3228,0.70923,0.44335,0.47334,0.14935,1.588,1.7123,1.3301,0.83805,0.0033069,0.0033069,0.0033069
1,2,1.6626,1.8207,1.8237,0.86678,0.8473,0.51934,0.63501,0.3189,0.82161,0.50246,0.57926,0.20833,1.7008,1.7359,1.4996,0.84808,0.0066271,0.0066271,0.0066271
2,3,1.8742,1.9556,2.0803,0.89536,0.76372,0.40887,0.45578,0.19028,0.51592,0.24631,0.17816,0.0572,2.1096,1.9409,2.4292,0.92127,0.009934,0.009934,0.009934
3,4,1.882,1.8862,2.0149,0.9132,0.72959,0.42857,0.48894,0.24783,0.6311,0.37192,0.37803,0.12587,1.784,2.0191,2.6341,0.87229,0.0099406,0.0099406,0.0099406
4,5,1.8459,2.002,1.7397,0.91816,0.69163,0.31034,0.36819,0.1969,0.55322,0.27586,0.28602,0.09435,2.0529,2.0408,1.9342,0.8956,0.0099406,0.0099406,0.0099406
5,6,1.8092,1.9462,1.7044,0.91881,0.73618,0.42613,0.50042,0.27307,0.7699,0.38916,0.45228,0.15668,1.8039,1.9473,1.7938,0.87738,0.0099208,0.0099208,0.0099208
6,7,1.8079,1.9216,1.5691,0.88865,0.78696,0.3867,0.47214,0.24862,0.68243,0.33005,0.35144,0.10865,1.9116,2.113,1.692,0.88591,0.009901,0.009901,0.009901
7,8,1.7372,1.8602,1.4831,0.89402,0.67435,0.43842,0.48941,0.2532,0.64949,0.36056,0.39093,0.09062,1.8344,1.9016,2.2403,0.87295,0.0098812,0.0098812,0.0098812
8,9,1.7106,1.8462,1.4143,0.8986,0.77275,0.47739,0.58069,0.33804,0.70098,0.43306,0.47672,0.17214,1.5841,1.6477,1.3444,0.84625,0.0098614,0.0098614,0.0098614
9,10,1.6356,1.797,1.3191,0.89363,0.77228,0.4803,0.56464,0.28842,0.57426,0.35714,0.32426,0.1168,1.6788,1.8987,1.4269,0.86605,0.0098416,0.0098416,0.0098416
10,11,1.6653,1.7805,1.3607,0.88463,0.75026,0.45074,0.5229,0.30501,0.63793,0.36887,0.35878,0.11807,1.6111,1.8233,1.5951,0.86272,0.0098218,0.0098218,0.0098218
11,12,1.6044,1.7288,1.2786,0.89065,0.81166,0.49015,0.59756,0.33508,0.76276,0.42611,0.48665,0.12342,1.5859,1.7138,1.3392,0.85524,0.009802,0.009802,0.009802
12,13,1.5814,1.6716,1.2524,0.87438,0.79591,0.50246,0.59293,0.35626,0.76175,0.47291,0.52457,0.18703,1.5829,1.6683,1.2959,0.85228,0.0097822,0.0097822,0.0097822
13,14,1.5792,1.626,1.2071,0.86782,0.84812,0.46552,0.59392,0.37303,0.79124,0.4335,0.50651,0.16593,1.508,1.6295,1.3038,0.84498,0.0097624,0.0097624,0.0097624
14,15,1.541,1.6137,1.1626,0.87427,0.78606,0.51232,0.61744,0.36468,0.77397,0.42857,0.49369,0.17227,1.5103,1.675,1.199,0.84807,0.0097426,0.0097426,0.0097426
15,16,1.5468,1.6857,1.1725,0.87117,0.73474,0.55261,0.61468,0.36715,0.73374,0.48768,0.52836,0.20109,1.5487,1.7186,1.1719,0.84109,0.0097228,0.0097228,0.0097228
16,17,1.4902,1.5698,1.1278,0.85663,0.83979,0.53695,0.65804,0.40045,0.70947,0.4532,0.49746,0.16096,1.4531,1.656,1.1576,0.83818,0.009703,0.009703,0.009703
17,18,1.4945,1.6158,1.1375,0.86742,0.86597,0.55701,0.6747,0.39231,0.76621,0.49754,0.54453,0.17378,1.5684,1.7612,1.1833,0.84921,0.0096832,0.0096832,0.0096832
18,19,1.4904,1.6007,1.0875,0.86457,0.78965,0.57143,0.64341,0.35923,0.70115,0.50739,0.53212,0.17571,1.4974,1.7132,1.1834,0.84091,0.0096634,0.0096634,0.0096634
19,20,1.4757,1.581,1.0891,0.85889,0.9,0.53201,0.65757,0.38409,0.78655,0.4532,0.51133,0.17231,1.5691,1.6217,1.1476,0.84896,0.0096436,0.0096436,0.0096436
20,21,1.4703,1.5966,1.0564,0.8657,0.8001,0.57882,0.68644,0.41582,0.77321,0.49015,0.55182,0.19674,1.4397,1.7662,1.0746,0.83576,0.0096238,0.0096238,0.0096238
21,22,1.4701,1.5793,1.0462,0.85632,0.82283,0.53766,0.65639,0.41065,0.77641,0.44089,0.52637,0.16964,1.4017,1.5515,1.0923,0.83483,0.009604,0.009604,0.009604
22,23,1.4388,1.4993,1.0239,0.85142,0.81063,0.53941,0.63423,0.37462,0.7551,0.50246,0.57148,0.19637,1.4749,1.6245,1.1631,0.84313,0.0095842,0.0095842,0.0095842
23,24,1.3955,1.5438,0.99093,0.85225,0.82411,0.5468,0.66041,0.39284,0.70881,0.46766,0.49741,0.17703,1.4454,1.5928,1.1475,0.83838,0.0095644,0.0095644,0.0095644
