Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
0,1,1.562,2.1993,0.75489,0.50826,0.3228,0.70923,0.44335,0.14935,1.588,1.7123
1,2,1.6626,1.8207,0.8473,0.51934,0.3189,0.82161,0.50246,0.20833,1.7008,1.7359
2,3,1.8742,1.9556,0.76372,0.40887,0.19028,0.51592,0.24631,0.0572,2.1096,1.9409
3,4,1.882,1.8862,0.72959,0.42857,0.24783,0.6311,0.37192,0.12587,1.784,2.0191
4,5,1.8459,2.002,0.69163,0.31034,0.1969,0.55322,0.27586,0.09435,2.0529,2.0408
5,6,1.8092,1.9462,0.73618,0.42613,0.27307,0.7699,0.38916,0.15668,1.8039,1.9473
6,7,1.8079,1.9216,0.78696,0.3867,0.24862,0.68243,0.33005,0.10865,1.9116,2.113
7,8,1.7372,1.8602,0.67435,0.43842,0.2532,0.64949,0.36056,0.09062,1.8344,1.9016
8,9,1.7106,1.8462,0.77275,0.47739,0.33804,0.70098,0.43306,0.17214,1.5841,1.6477
9,10,1.6356,1.797,0.77228,0.4803,0.28842,0.57426,0.35714,0.1168,1.6788,1.8987
10,11,1.6653,1.7805,0.75026,0.45074,0.30501,0.63793,0.36887,0.11807,1.6111,1.8233
11,12,1.6044,1.7288,0.81166,0.49015,0.33508,0.76276,0.42611,0.12342,1.5859,1.7138
12,13,1.5814,1.6716,0.79591,0.50246,0.35626,0.76175,0.47291,0.18703,1.5829,1.6683
13,14,1.5792,1.626,0.84812,0.46552,0.37303,0.79124,0.4335,0.16593,1.508,1.6295
14,15,1.541,1.6137,0.78606,0.51232,0.36468,0.77397,0.42857,0.17227,1.5103,1.675
15,16,1.5468,1.6857,0.73474,0.55261,0.36715,0.73374,0.48768,0.20109,1.5487,1.7186
16,17,1.4902,1.5698,0.83979,0.53695,0.40045,0.70947,0.4532,0.16096,1.4531,1.656
17,18,1.4945,1.6158,0.86597,0.55701,0.39231,0.76621,0.49754,0.17378,1.5684,1.7612
18,19,1.4904,1.6007,0.78965,0.57143,0.35923,0.70115,0.50739,0.17571,1.4974,1.7132
19,20,1.4757,1.581,0.9,0.53201,0.38409,0.78655,0.4532,0.17231,1.5691,1.6217
20,21,1.4703,1.5966,0.8001,0.57882,0.41582,0.77321,0.49015,0.19674,1.4397,1.7662
21,22,1.4701,1.5793,0.82283,0.53766,0.41065,0.77641,0.44089,0.16964,1.4017,1.5515
22,23,1.4388,1.4993,0.81063,0.53941,0.37462,0.7551,0.50246,0.19637,1.4749,1.6245
23,24,1.3955,1.5438,0.82411,0.5468,0.39284,0.70881,0.46766,0.17703,1.4454,1.5928
24,25,1.3892,1.4575,0.75499,0.57635,0.38747,0.66644,0.48768,0.16542,1.4787,1.6523
25,26,1.4156,1.5338,0.80789,0.58621,0.42264,0.76071,0.50739,0.1864,1.3748,1.5891
26,27,1.4237,1.4796,0.79991,0.58095,0.37113,0.71945,0.46798,0.15416,1.4857,1.4372
27,28,1.3723,1.4525,0.83642,0.57143,0.42442,0.79943,0.52217,0.19754,1.4001,1.5492
28,29,1.3346,1.3964,0.82252,0.60591,0.43041,0.78587,0.49507,0.19064,1.3603,1.5405
29,30,1.384,1.4409,0.83123,0.58229,0.4193,0.72575,0.5084,0.16412,1.4286,1.4556
30,31,1.3301,1.4275,0.81595,0.59852,0.43243,0.74433,0.48768,0.16804,1.4039,1.5604
31,32,1.3249,1.4453,0.78907,0.60099,0.4121,0.66656,0.49731,0.16154,1.438,1.4833
32,33,1.3587,1.4266,0.81099,0.5936,0.43506,0.73162,0.51031,0.16828,1.3947,1.4628
33,34,1.3276,1.3989,0.8604,0.60345,0.45514,0.79534,0.52463,0.21148,1.3463,1.4728
34,35,1.3447,1.3471,0.85669,0.57421,0.41521,0.76933,0.50493,0.17716,1.4622,1.5562
35,36,1.3317,1.4181,0.88627,0.57581,0.44995,0.76874,0.49945,0.17907,1.3958,1.5438
36,37,1.3713,1.4657,0.74419,0.62562,0.4282,0.85259,0.47537,0.19874,1.3981,1.4866
37,38,1.2837,1.3361,0.87299,0.60944,0.4467,0.7495,0.52324,0.17622,1.3776,1.4305
38,39,1.261,1.3317,0.798,0.64039,0.41568,0.69864,0.54187,0.17928,1.4435,1.5537
39,40,1.2922,1.3833,0.89727,0.62388,0.44878,0.78232,0.53996,0.19307,1.396,1.4931
40,41,1.2999,1.3607,0.84933,0.62808,0.45476,0.75416,0.52891,0.18894,1.3619,1.5514
41,42,1.2942,1.3775,0.87942,0.633,0.47069,0.75838,0.53695,0.20201,1.3154,1.4342
42,43,1.2776,1.3703,0.84301,0.62162,0.44368,0.72994,0.53448,0.17571,1.3816,1.4266
43,44,1.2582,1.2954,0.87873,0.60679,0.46881,0.79301,0.54731,0.20887,1.3301,1.4183
44,45,1.2246,1.2596,0.83494,0.66502,0.45542,0.78695,0.53677,0.1864,1.4038,1.534
45,46,1.2615,1.2849,0.89978,0.64132,0.47476,0.78684,0.54433,0.19066,1.3014,1.4722
46,47,1.2605,1.3061,0.79482,0.63926,0.44605,0.68543,0.56404,0.1844,1.3757,1.4716
47,48,1.2581,1.3073,0.87711,0.62562,0.46018,0.79623,0.53896,0.20781,1.3223,1.4365
48,49,1.2163,1.3016,0.861,0.65603,0.47217,0.76074,0.55172,0.20381,1.3145,1.5201
49,50,1.2266,1.2576,0.83865,0.633,0.45656,0.70486,0.53202,0.18685,1.3366,1.4511
50,51,1.1902,1.2578,0.87298,0.64532,0.4659,0.76959,0.55943,0.20403,1.317,1.4126
51,52,1.1912,1.2219,0.93061,0.63547,0.48008,0.80822,0.55015,0.20652,1.2886,1.4141
52,53,1.2034,1.2576,0.88828,0.64625,0.48041,0.77364,0.57389,0.18687,1.273,1.3615
53,54,1.2115,1.2363,0.79609,0.6601,0.46979,0.81429,0.50758,0.19983,1.2792,1.3646
54,55,1.1707,1.2343,0.89479,0.64778,0.4833,0.76956,0.55932,0.21181,1.3118,1.4242
55,56,1.1902,1.2758,0.86611,0.60591,0.43735,0.75052,0.51128,0.16425,1.394,1.5292
56,57,1.1921,1.2363,0.85491,0.63858,0.45993,0.84708,0.5468,0.19823,1.3085,1.3634
57,58,1.1947,1.2407,0.83614,0.69125,0.47887,0.72404,0.56868,0.19939,1.3142,1.3124
58,59,1.1511,1.1873,0.91113,0.62562,0.47517,0.83122,0.55665,0.20403,1.3052,1.3793
59,60,1.199,1.267,0.92648,0.62069,0.47834,0.78807,0.52709,0.1655,1.3194,1.4125
60,61,1.1861,1.2207,0.84336,0.66308,0.46408,0.78349,0.5468,0.18887,1.3166,1.4038
61,62,1.1729,1.1919,0.91124,0.63547,0.48935,0.79019,0.54433,0.19135,1.2549,1.3425
62,63,1.1486,1.1676,0.85584,0.68726,0.49317,0.78627,0.54926,0.19941,1.2656,1.4257
63,64,1.1457,1.1954,0.81606,0.67751,0.49602,0.78169,0.55665,0.21648,1.2725,1.4988
64,65,1.1386,1.1598,0.89551,0.67548,0.48981,0.78494,0.56636,0.18666,1.3419,1.4118
65,66,1.1485,1.1817,0.91757,0.64778,0.49653,0.81833,0.57635,0.21889,1.2495,1.3502
66,67,1.1308,1.1783,0.9003,0.67734,0.48083,0.76624,0.54901,0.18248,1.2708,1.2928
67,68,1.1364,1.1602,0.85275,0.67041,0.49524,0.75744,0.58454,0.20947,1.2657,1.2387
68,69,1.1526,1.1584,0.90141,0.63055,0.49086,0.82929,0.53844,0.19479,1.2547,1.2999
69,70,1.1567,1.1748,0.87642,0.66256,0.4839,0.75444,0.5665,0.1921,1.3108,1.3679
70,71,1.1118,1.1363,0.82967,0.65986,0.49156,0.72517,0.57191,0.19863,1.2263,1.4391
