,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
221076,6 Rue De La Tour 16th arr 75016 Paris France,74,8/30/2016,8.7,Hotel Maison FL, United Kingdom , A more exciting breakfast delivered to room We had a few small croissants and bread jam ,18,417, We can see the Eiffel Tower clearly from the room The penthouse also has a huge balcony ,19,1,9.2,"[' Leisure trip ', ' Couple ', ' Penthouse Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",338 day,48.8396395,2.2663056
318628,Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,99,11/9/2016,8.1,Austria Trend Hotel Lassalle Wien, United Kingdom , we didn t find any particularly nice restaurants nearby,10,1287, Location excellent for walking across the river to the Austria Centre Vienna in 20 minutes clean quiet spacious room nice breakfast,22,6,8.8,"[' Business trip ', ' Solo traveler ', ' Classic Room ', ' Stayed 1 night ']",267 day,48.2273013,16.4001791
173542,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,6/7/2016,7.8,Millennium Gloucester Hotel London, Malaysia , No free wifi It should be included in the basic requirements nowadays ,14,5726, Very near to tube station ,7,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",422 day,51.4935083,-0.1834346
61142,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,204,7/7/2016,9.0,St Paul s Hotel, Hong Kong , The breakfast choices can be improved ,8,812, The hotel is a historical budiling with good surroundings The facilities are nice and the staff are helpful It is about 10 mins walk from Hammersmith station which is directly accessible to Heathrow airport ,36,29,9.2,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",392 day,51.4934752,-0.2153256
332422,Gran Via de les Corts Catalanes 678 Eixample 08010 Barcelona Spain,158,7/28/2017,8.4,Grupotel Gran Via 678, Australia , Nothing,2,1664, Receptionist Paula was just fantastic nothing was a problem very jolly girl,13,2,10.0,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",6 days,41.392344,2.1729157
107032,22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,461,8/2/2017,9.2,Montcalm Royal London House City of London, United Kingdom , Bit cleaner in the bedroom but bathroom was spotless Bed seemed twins pushed together,15,1592, Comfortable room with good clean bathroom Central location near Moorgate ,12,1,7.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5218066,-0.0856081
211129,53 Park Lane Westminster Borough London W1K 1QA United Kingdom,173,6/30/2016,9.1,The Dorchester Dorchester Collection, United Kingdom , Everything was lovely can t say a bad word,10,545, We loved it beautiful hotel lovely staff and lovely food thank u,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",399 day,51.5074007,-0.1524593
232055,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,211,12/29/2016,9.3,Hotel Cafe Royal, Lebanon ,No Negative,0,1128, Best location,3,2,10.0,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",217 day,51.5100916,-0.1359431
253988,81 Jermyn Street Westminster Borough London SW1Y 6JF United Kingdom,243,8/21/2016,8.8,The Cavendish London, United States of America ,No Negative,0,1039, Everything was perfect The breakfast was excellent The room service and staff service were very attentive ,18,1,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room with Breakfast ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",347 day,51.5077459,-0.1378733
134122,3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,390,9/23/2016,8.0,Holiday Inn London Mayfair, United Kingdom , The noise from residents children who we allowed to do as they liked due to the fact that they were getting to stay and eat free,27,1894, The location,3,12,6.3,"[' Leisure trip ', ' Couple ', ' Room Selected at Check In ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",314 day,51.507746,-0.1422993
