№,Секунда,Микросекунда
1,45,967383
2,45,979618
3,45,990307
4,46,808
5,46,12174
6,46,22924
7,46,33944
8,46,45194
9,46,55689
10,46,66494
11,46,76792
12,46,87178
13,46,98182
14,46,108739
15,46,118959
16,46,129950
17,46,140460
18,46,150917
19,46,161371
20,46,172317
21,46,182743
22,46,193417
23,46,204381
24,46,215340
25,46,225563
26,46,236779
27,46,247591
28,46,258554
29,46,269037
30,46,280011
31,46,290987
32,46,301174
33,46,312602
34,46,323202
35,46,334469
36,46,344549
37,46,355273
38,46,365826
39,46,376601
40,46,387225
41,46,397986
42,46,409164
43,46,420180
44,46,430469
45,46,440644
46,46,451200
47,46,462015
48,46,472093
49,46,483275
50,46,493901
51,46,504372
52,46,515272
53,46,525566
54,46,535949
55,46,546553
56,46,557242
57,46,568339
58,46,579090
59,46,590025
60,46,600602
61,46,611330
62,46,621829
63,46,632360
64,46,643396
65,46,654005
66,46,664409
67,46,674841
68,46,685921
69,46,696949
70,46,707440
71,46,717929
72,46,728195
73,46,739322
74,46,750050
75,46,760583
76,46,771323
77,46,782237
78,46,792815
79,46,803701
80,46,814061
81,46,825163
82,46,835821
83,46,847127
84,46,857650
85,46,867839
86,46,878927
87,46,889585
88,46,899997
89,46,910329
90,46,921117
91,46,931922
92,46,942790
93,46,953154
94,46,963825
95,46,975130
96,46,985483
97,46,996077
98,47,6716
99,47,17026
100,47,27666
101,47,38308
102,47,49359
103,47,59883
104,47,70871
105,47,81136
106,47,91390
107,47,101703
108,47,111902
109,47,122788
110,47,133682
111,47,144276
112,47,155052
113,47,165536
114,47,176125
115,47,187029
116,47,197403
117,47,208431
118,47,218964
119,47,229762
120,47,240211
121,47,251577
122,47,262563
123,47,273203
124,47,283685
125,47,294214
126,47,305230
127,47,315617
128,47,326587
129,47,337838
130,47,348570
131,47,359726
132,47,370187
133,47,380818
134,47,391291
135,47,401482
136,47,412927
137,47,423915
138,47,434376
139,47,445139
140,47,456008
141,47,466958
142,47,477768
143,47,488175
144,47,498551
145,47,509114
146,47,519311
147,47,530190
148,47,540471
149,47,551042
150,47,561305
151,47,572309
152,47,583110
153,47,593227
154,47,604374
155,47,614753
156,47,625171
157,47,635745
158,47,645970
159,47,656125
160,47,667188
161,47,678160
162,47,689136
163,47,699266
164,47,709913
165,47,720576
166,47,731084
167,47,741200
168,47,752251
169,47,763020
170,47,773421
171,47,784661
172,47,795484
173,47,806204
174,47,816661
175,47,827686
176,47,838119
177,47,848536
178,47,859188
179,47,870165
180,47,880907
181,47,891107
182,47,901639
183,47,912478
184,47,922807
185,47,933125
186,47,944218
187,47,954905
188,47,965568
189,47,976213
190,47,986721
191,47,997225
192,48,8404
193,48,18581
194,48,28983
195,48,39611
196,48,51065
197,48,61924
198,48,72065
199,48,83323
200,48,94485
201,48,105051
202,48,115793
203,48,126341
204,48,137400
205,48,148076
206,48,159238
207,48,170267
208,48,180842
209,48,192166
210,48,203623
211,48,214185
212,48,224465
213,48,234943
214,48,245395
215,48,255824
216,48,266103
217,48,276299
218,48,286785
219,48,297314
220,48,307887
221,48,318791
222,48,329280
223,48,340138
224,48,350924
225,48,361297
226,48,372226
227,48,382697
228,48,392979
229,48,403554
230,48,414132
231,48,424642
232,48,435322
233,48,445865
234,48,457236
235,48,467836
236,48,478399
237,48,488943
238,48,499664
239,48,510106
240,48,520820
241,48,531128
242,48,542041
243,48,552270
244,48,563070
245,48,574062
246,48,584573
247,48,595523
248,48,606042
249,48,617090
250,48,627842
251,48,638971
252,48,649570
253,48,660384
254,48,670828
255,48,682272
256,48,692498
257,48,703003
258,48,714091
259,48,724154
260,48,734692
261,48,745237
262,48,755627
263,48,766116
264,48,776388
265,48,786954
266,48,797258
267,48,807979
268,48,818274
269,48,846204
270,48,856699
271,48,867378
272,48,877982
273,48,888707
274,48,899216
275,48,909945
276,48,920779
277,48,931237
278,48,941453
279,48,952672
280,48,963568
281,48,974871
282,48,985370
283,48,995633
284,49,6135
285,49,16958
286,49,27406
287,49,37917
288,49,48913
289,49,59444
290,49,69911
291,49,80692
292,49,91289
293,49,102137
294,49,113091
295,49,123717
296,49,134293
297,49,145384
298,49,155682
299,49,166361
300,49,177185
